Timestamp,Record Type,Instrument Name,Premium (256ths),Workup State,Workup Reason,Aggressive Order Number,Aggressive Bid/Ask,Passive Order Number,Passive Bid/Ask,Sequence
06:55:23:241790 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12554
06:55:23:242374 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12569
06:55:23:242394 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12573
06:55:23:242411 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12577
06:55:23:242468 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12582
06:55:26:242422 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,12619
06:55:42:321703 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,12655
06:55:42:321703 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12663
06:55:45:321820 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,12696
06:59:56:269034 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,12801
06:59:56:269034 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,12806
06:59:59:269570 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,12838
07:00:07:563239 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,12844
07:00:07:563239 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12848
07:00:07:563451 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12850
07:00:07:563530 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,12854
07:00:10:563789 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,13849
07:01:33:212573 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,13914
07:01:33:212573 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,13918
07:01:33:212656 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,13920
07:01:36:212687 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,13982
07:06:07:212836 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,14345
07:06:07:212836 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,14351
07:06:10:212701 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,14415
07:17:33:132394 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,15086
07:17:33:132394 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15092
07:17:33:132775 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15098
07:17:36:133003 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,15123
07:17:47:151532 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,15125
07:17:47:151532 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15145
07:17:47:151727 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15146
07:17:47:154477 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15178
07:17:47:154574 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15182
07:17:47:154598 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15186
07:17:50:154760 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,15211
07:18:06:998308 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,15232
07:18:06:998308 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15238
07:18:06:998382 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15239
07:18:09:998318 20180108,WORKUP,2_YEAR,25560,0,1,000000000,2,000000000,1,15274
07:18:23:334927 20180108,WORKUP,2_YEAR,25560,10,1,000000000,1,000000000,2,15277
07:18:23:334927 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15282
07:18:23:335224 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15289
07:18:23:335294 20180108,WORKUP,2_YEAR,25560,11,1,000000000,1,000000000,2,15294
07:18:26:335069 20180108,WORKUP,2_YEAR,25560,0,1,000000000,1,000000000,2,15314
07:18:42:229152 20180108,WORKUP,2_YEAR,25560,10,1,000000000,2,000000000,1,15331
07:18:42:229152 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15335
07:18:42:229190 20180108,WORKUP,2_YEAR,25560,11,1,000000000,2,000000000,1,15336
