Timestamp,Record Type,Instrument Name,Premium (256ths),Quantity,Deal Source,Aggressive,Bid/Ask,Order Number,Sequence
03:49:04:970193 20180108,TRADE,2_YEAR,25556,8,1,0,A,60579400000136CA,4212
03:49:04:970193 20180108,TRADE,2_YEAR,25556,5,1,0,A,6057940000013F07,4213
03:52:05:892253 20180108,TRADE,2_YEAR,25556,30,1,0,A,6057940000013F07,4508
03:52:05:892253 20180108,TRADE,2_YEAR,25556,50,1,1,B,6057940000024185,4509
03:52:05:892253 20180108,TRADE,2_YEAR,25556,1,1,0,A,6057940000019120,4510
03:52:05:892253 20180108,TRADE,2_YEAR,25556,2,1,0,A,6057940000021E37,4511
03:52:05:892253 20180108,TRADE,2_YEAR,25556,2,1,0,A,60579400000226F7,4512
03:52:05:892253 20180108,TRADE,2_YEAR,25556,1,1,0,A,6057940000022D3F,4513
03:52:05:892253 20180108,TRADE,2_YEAR,25556,14,1,0,A,6057940000022DCE,4514
03:53:18:003081 20180108,TRADE,2_YEAR,25556,2,1,0,A,605794000002419B,4604
03:53:18:003081 20180108,TRADE,2_YEAR,25556,22,1,1,B,60579400000247AA,4605
03:53:18:003081 20180108,TRADE,2_YEAR,25556,6,1,0,A,6057940000024246,4606
03:53:18:003081 20180108,TRADE,2_YEAR,25556,6,1,0,A,6057940000024248,4607
03:53:18:003081 20180108,TRADE,2_YEAR,25556,3,1,0,A,605794000002424A,4608
03:53:18:003081 20180108,TRADE,2_YEAR,25556,3,1,0,A,6057940000024389,4609
03:53:18:003081 20180108,TRADE,2_YEAR,25556,1,1,0,A,60579400000245C8,4610
03:53:18:003081 20180108,TRADE,2_YEAR,25556,1,1,0,A,60579400000246B7,4611
04:33:38:227316 20180108,TRADE,2_YEAR,25558,2,1,0,A,6057940000012170,6390
04:33:38:227316 20180108,TRADE,2_YEAR,25558,5,1,1,B,605794000002E388,6391
04:33:38:227316 20180108,TRADE,2_YEAR,25558,1,1,0,A,605794000002484A,6392
04:33:38:227316 20180108,TRADE,2_YEAR,25558,1,1,0,A,605794000002DF3E,6393
04:33:38:227316 20180108,TRADE,2_YEAR,25558,1,1,0,A,605794000002DF84,6394
04:33:38:231533 20180108,TRADE,2_YEAR,25558,1,1,0,A,605794000002E0C9,6401
04:33:38:231533 20180108,TRADE,2_YEAR,25558,3,1,1,B,605794000002E39F,6402
04:33:38:231533 20180108,TRADE,2_YEAR,25558,2,1,0,A,605794000002E2E0,6403
04:35:03:513050 20180108,TRADE,2_YEAR,25558,12,1,0,B,605794000002E39F,6663
04:35:03:513050 20180108,TRADE,2_YEAR,25558,40,1,1,A,605794000002F53E,6664
04:35:03:513050 20180108,TRADE,2_YEAR,25558,2,1,0,B,605794000002E3A9,6665
04:35:03:513050 20180108,TRADE,2_YEAR,25558,6,1,0,B,605794000002E3D8,6666
04:35:03:513050 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000002EB11,6667
04:35:03:513050 20180108,TRADE,2_YEAR,25558,2,1,0,B,605794000002EBE6,6668
04:35:03:513050 20180108,TRADE,2_YEAR,25558,3,1,0,B,605794000002EC0C,6669
04:35:03:513050 20180108,TRADE,2_YEAR,25558,2,1,0,B,605794000002EC75,6670
04:35:03:513050 20180108,TRADE,2_YEAR,25558,11,1,0,B,605794000002EC78,6671
04:35:03:513050 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000002EDBE,6672
04:36:54:634163 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000002EDBE,6759
04:36:54:634163 20180108,TRADE,2_YEAR,25558,40,1,1,A,605794000002FFB7,6760
04:36:54:634163 20180108,TRADE,2_YEAR,25558,3,1,0,B,605794000002EE1F,6761
04:36:54:634163 20180108,TRADE,2_YEAR,25558,2,1,0,B,605794000002EE22,6762
04:36:54:634163 20180108,TRADE,2_YEAR,25558,3,1,0,B,605794000002EE27,6763
04:36:54:634163 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000002EE2D,6764
04:36:54:634163 20180108,TRADE,2_YEAR,25558,2,1,0,B,605794000002EE34,6765
04:36:54:634163 20180108,TRADE,2_YEAR,25558,2,1,0,B,605794000002EE3D,6766
04:36:54:634163 20180108,TRADE,2_YEAR,25558,10,1,0,B,605794000002EE58,6767
04:36:54:634163 20180108,TRADE,2_YEAR,25558,5,1,0,B,605794000002F1CF,6768
04:36:54:634163 20180108,TRADE,2_YEAR,25558,6,1,0,B,605794000002F1D0,6769
04:36:54:634163 20180108,TRADE,2_YEAR,25558,5,1,0,B,605794000002F46E,6770
04:42:46:902068 20180108,TRADE,2_YEAR,25558,10,1,0,B,605794000002EE58,6983
04:42:46:902068 20180108,TRADE,2_YEAR,25558,50,1,1,A,605794000003183F,6984
04:42:46:902068 20180108,TRADE,2_YEAR,25558,16,1,0,B,605794000002F46E,6985
04:42:46:902068 20180108,TRADE,2_YEAR,25558,2,1,0,B,605794000002F551,6986
04:42:46:902068 20180108,TRADE,2_YEAR,25558,15,1,0,B,605794000002F55E,6987
04:42:46:902068 20180108,TRADE,2_YEAR,25558,7,1,0,B,605794000002F5FC,6988
04:42:46:902480 20180108,TRADE,2_YEAR,25558,9,1,0,B,605794000002F5FC,6993
04:42:46:902480 20180108,TRADE,2_YEAR,25558,9,1,1,A,605794000003184D,6994
04:42:46:902539 20180108,TRADE,2_YEAR,25558,6,1,0,B,605794000002F5FC,6997
04:42:46:902539 20180108,TRADE,2_YEAR,25558,6,1,1,A,6057940000031850,6998
04:42:46:902570 20180108,TRADE,2_YEAR,25558,3,1,0,B,605794000002F5FC,7002
04:42:46:902570 20180108,TRADE,2_YEAR,25558,4,1,1,A,6057940000031851,7003
04:42:46:902570 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000002FE06,7004
04:42:46:902734 20180108,TRADE,2_YEAR,25558,1,1,1,A,6057940000031853,7009
04:42:46:902734 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000003185C,7010
04:42:46:902775 20180108,TRADE,2_YEAR,25558,1,1,0,B,605794000003185C,7015
04:42:46:902775 20180108,TRADE,2_YEAR,25558,1,1,1,A,605794000003185F,7016
04:43:02:125816 20180108,TRADE,2_YEAR,25558,1,1,0,B,60579400000318B5,7066
04:43:02:125816 20180108,TRADE,2_YEAR,25558,1,1,1,A,60579400000319F4,7067
