Date,Currency,Description,Producer,Record,Bid,Ask,Bid Yield %,Ask Yield %,Maturity Date,Coupon,Last Trade Price,Last Trade Size mm,Mid Yield %,Bid Size mm,Ask Size mm,Duration,Total Volume mm,Dollar Flow,Close,High,Low,Open,VWAP,VWAY %,Best Ask Size1,Best Ask Size2,Best Ask Size3,Best Ask Size4,Best Ask Size5,Best Ask1,Best Ask2,Best Ask3,Best Ask4,Best Ask5,Best Bid Size1,Best Bid Size2,Best Bid Size3,Best Bid Size4,Best Bid Size5,Best Bid1,Best Bid2,Best Bid3,Best Bid4,Best Bid5,Sequence
08/01/2018 16:06:28.276,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17739
08/01/2018 16:06:28.276,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17740
08/01/2018 16:06:28.276,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17741
08/01/2018 16:06:28.276,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17742
08/01/2018 16:06:28.276,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17743
08/01/2018 16:06:28.276,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17744
08/01/2018 16:06:28.291,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17745
08/01/2018 16:06:28.291,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17746
08/01/2018 16:06:28.291,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17747
08/01/2018 16:06:28.291,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17748
08/01/2018 16:06:28.291,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17749
08/01/2018 16:06:28.291,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17750
08/01/2018 16:06:28.291,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17751
08/01/2018 16:06:28.307,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17752
08/01/2018 16:06:28.307,USD,2YR NOTE,US_500,2_YEAR,,99.8359375,,1.96,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17753
